year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,period_code,decade_code
2000,tt0191754,28 Days,ok,ok,PASS,43000000,37035515,62063972,2000PASS,58175060,50105659,83966868,3,2
2000,tt0181875,Almost Famous,ok,ok,PASS,60000000,32522352,47371191,2000PASS,81174503,43999763,64088881,3,2
2000,tt0144084,American Psycho,notalk-disagree,notalk,FAIL,8000000,15070285,28674417,2000FAIL,10823267,20388715,38793859,3,2
2000,tt0221889,Beautiful Creatures,ok,ok,PASS,50000000,19452138,55940671,2000PASS,67645419,26316961,75682603,3,2
2000,tt0218839,Best in Show,ok,ok,PASS,6000000,18621249,20695413,2000PASS,8117450,25192844,27998998,3,2
2000,tt0249462,Billy Elliot,ok,ok,PASS,5000000,21995263,109280263,2000PASS,6764542,29757576,147846184,3,2
2000,tt0181984,Boiler Room,notalk,notalk,FAIL,9000000,16963963,28773637,2000FAIL,12176175,22950688,38928095,3,2
2000,tt0204946,Bring It On,ok,ok,PASS,10000000,68353550,90453550,2000PASS,13529084,92476091,122375366,3,2
2000,tt0162222,Cast Away,notalk,notalk,FAIL,85000000,233632142,427230516,2000FAIL,114997212,316082883,578003746,3,2
2000,tt0173716,Cecil B. Demented,ok,ok,PASS,10000000,1276984,1953882,2000PASS,13529084,1727642,2643423,3,2
2000,tt0210616,Center Stage,ok,ok,PASS,18000000,17200925,17200925,2000PASS,24352351,23271276,23271276,3,2
2000,tt0160127,Charlie's Angels,ok,ok,PASS,90000000,125305545,259736090,2000PASS,121761754,169526922,351399133,3,2
2000,tt0120630,Chicken Run,ok,ok,PASS,42000000,106793915,227793915,2000PASS,56822152,144482383,308184297,3,2
2000,tt0241303,Chocolat,ok,ok,PASS,25000000,71309760,152500343,2000PASS,33822710,96475572,206318992,3,2
2000,tt0200550,Coyote Ugly,men-disagree,men,FAIL,45000000,60786269,115786269,2000FAIL,60880877,82238253,156648214,3,2
2000,tt0168629,Dancer in the Dark,ok,ok,PASS,12500000,4157491,45557491,2000PASS,16911355,5624704,61635111,3,2
2000,tt0242423,"Dude, Where's My Car",men,men,FAIL,14000000,46729374,73180297,2000FAIL,18940717,63220562,99006237,3,2
2000,tt0142032,Dune,ok,ok,PASS,45000000,27447471,27447471,2000PASS,60880877,37133914,37133914,3,2
2000,tt0195685,Erin Brockovich,ok,ok,PASS,50000000,125548685,257805243,2000PASS,67645419,169855868,348786874,3,2
2000,tt0195714,Final Destination,notalk,notalk,FAIL,23000000,53302314,112036870,2000FAIL,31116893,72113147,151575620,3,2
2000,tt0172495,Gladiator,nowomen,nowomen,FAIL,103000000,187683805,457683805,2000FAIL,139349563,253918993,619204256,3,2
2000,tt0187078,Gone in Sixty Seconds,notalk,notalk,FAIL,103300000,101643008,232643008,2000FAIL,139755436,137513677,314744675,3,2
2000,tt0146882,High Fidelity,men,men,FAIL,20000000,27277055,47881663,2000FAIL,27058168,36903356,64779503,3,2
2000,tt0164052,Hollow Man,ok,ok,PASS,90000000,73209340,191200000,2000PASS,121761754,99045530,258676083,3,2
2000,tt0185431,Little Nicky,notalk,notalk,FAIL,80000000,39442871,58270391,2000FAIL,108232671,53362591,78834500,3,2
2000,tt0199725,Love & Basketball,ok,ok,PASS,15000000,27441122,27709625,2000PASS,20293626,37125324,37488584,3,2
2000,tt0212338,Meet the Parents,men,men,FAIL,55000000,166225040,304599899,2000FAIL,74409961,224887250,412095756,3,2
2000,tt0209144,Memento,notalk,notalk,FAIL,5000000,25544867,39723096,2000FAIL,6764542,34559865,53741710,3,2
2000,tt0212346,Miss Congeniality,ok,ok,PASS,45000000,106807667,213420951,2000PASS,60880877,144500988,288738993,3,2
2000,tt0183523,Mission to Mars,notalk,notalk,FAIL,90000000,60874615,1.06E+08,2000FAIL,121761754,82357777,143408288,3,2
2000,tt0190590,"O Brother, Where Art Thou?",nowomen-disagree,nowomen,FAIL,26000000,45506619,75763814,2000FAIL,35175618,61566286,102501499,3,2
2000,tt0134847,Pitch Black,ok,ok,PASS,23000000,39235088,53182088,2000PASS,31116893,53081479,71950493,3,2
2000,tt0257001,Pokemon: The Movie 2000,men,men,FAIL,30000000,43746923,133946923,2000FAIL,40587251,59185579,181217915,3,2
2000,tt0199753,Red Planet,nowomen,nowomen,FAIL,80000000,17480890,33463969,2000FAIL,108232671,23650043,45273684,3,2
2000,tt0210945,Remember the Titans,notalk-disagree,notalk,FAIL,30000000,115654751,136706683,2000FAIL,40587251,156470282,184951617,3,2
2000,tt0180093,Requiem for a Dream,ok,ok,PASS,4500000,3635482,7390108,2000PASS,6088088,4918474,9998139,3,2
2000,tt0122459,Return to Me,dubious-disagree,dubious,FAIL,24000000,32662299,32662299,2000FAIL,32469801,44189098,44189098,3,2
2000,tt0165929,Romeo Must Die,nowomen,nowomen,FAIL,25000000,55973336,91036760,2000FAIL,33822710,75726795,123164396,3,2
2000,tt0213203,Rugrats in Paris:,ok,ok,PASS,30000000,76501438,103284813,2000PASS,40587251,103499437,139734889,3,2
2000,tt0195234,Saving Grace,ok,ok,PASS,4000000,12178602,27786849,2000PASS,5411634,16476533,37593061,3,2
2000,tt0134084,Scream 3,ok,ok,PASS,40000000,89138076,161838076,2000PASS,54116335,120595650,218952089,3,2
2000,tt0203119,Sexy Beast,men,men,FAIL,4300000,6946056,10154577,2000FAIL,5817506,9397377,13738212,3,2
2000,tt0184894,Shanghai Noon,notalk-disagree,notalk,FAIL,55000000,56932305,71189835,2000FAIL,74409961,77024193,96313324,3,2
2000,tt0208092,Snatch.,nowomen-disagree,nowomen,FAIL,10000000,30093107,83593107,2000FAIL,13529084,40713217,113093815,3,2
2000,tt0210299,Songcatcher,ok,ok,PASS,1800000,3050934,3050934,2000PASS,2435235,4127634,4127634,3,2
2000,tt0163978,The Beach,notalk,notalk,FAIL,50000000,39778599,39778599,2000FAIL,67645419,53816800,53816800,3,2
2000,tt0209958,The Cell,men,men,FAIL,35000000,61280963,85911226,2000FAIL,47351793,82907528,116230018,3,2
2000,tt0120917,The Emperor's New Groove,ok-disagree,ok,PASS,100000000,89296573,169296573,2000PASS,135290838,120810082,229042753,3,2
2000,tt0219699,The Gift,dubious,dubious,FAIL,10000000,12008642,44567606,2000FAIL,13529084,16246592,60295888,3,2
2000,tt0187393,The Patriot,dubious,dubious,FAIL,110000000,113330342,215300000,2000FAIL,148819922,153325570,291281175,3,2
2000,tt0138749,The Road to El Dorado,nowomen,nowomen,FAIL,95000000,50802661,65700000,2000FAIL,128526296,68731346,88886081,3,2
2000,tt0202677,The Way of the Gun,men,men,FAIL,9000000,6047856,13061935,2000FAIL,12176175,8182195,17671601,3,2
2000,tt0190138,The Whole Nine Yards,ok,ok,PASS,24000000,57262492,85527867,2000PASS,32469801,77470905,115711368,3,2
2000,tt0146309,Thirteen days,notalk,notalk,FAIL,80000000,34566746,66554547,2000FAIL,108232671,46765640,90042204,3,2
2000,tt0120913,Titan A.E.,ok,ok,PASS,75000000,22751979,36751979,2000PASS,101468129,30781343,49722060,3,2
2000,tt0217869,Unbreakable,nowomen-disagree,nowomen,FAIL,73243106,94999143,248099143,2000FAIL,99091212,128525137,335655410,3,2
2000,tt0182508,Urbania,notalk,notalk,FAIL,225000,1032075,1032075,2000FAIL,304404,1396303,1396303,3,2
2000,tt0190865,Vertical Limit,notalk,notalk,FAIL,75000000,68473360,213500000,2000FAIL,101468129,92638183,288845939,3,2
2000,tt0161081,What Lies Beneath,ok,ok,PASS,90000000,155464351,288693989,2000PASS,121761754,210329023,390576517,3,2
2000,tt0207201,What Women Want,notalk-disagree,notalk,FAIL,65000000,182805123,372100000,2000FAIL,87939045,247318583,503417209,3,2
2000,tt0198021,Where the Heart Is,ok,ok,PASS,15000000,33771174,40862054,2000PASS,20293626,45689304,55282615,3,2
2000,tt0190332,"Wo hu cang long (Crouching Tiger, Hidden Dragon)",ok,ok,PASS,15000000,128067808,213200000,2000PASS,20293626,173264011,288440067,3,2
2000,tt0120903,X-Men,notalk-disagree,notalk,FAIL,75000000,157299717,296339717,2000FAIL,101468129,212812106,400920487,3,2
1999,tt0147800,10 Things I Hate About You,ok,ok,PASS,13000000,38177966,60414025,1999PASS,18180006,53390436,84486720,4,3
1999,tt0134273,8MM,notalk,notalk,FAIL,40000000,36443442,96398826,1999FAIL,55938481,50964770,134810098,4,3
1999,tt0169547,American Beauty,ok,ok,PASS,15000000,130058047,356258047,1999PASS,20976930,181881240,498213351,4,3
1999,tt0163651,American Pie,men,men,FAIL,12000000,101800948,234723148,1999FAIL,16781544,142364760,328251410,4,3
1999,tt0122933,Analyze This,notalk,notalk,FAIL,30000000,106885658,176885658,1999FAIL,41953861,149475534,247367876,4,3
1999,tt0166485,Anna and the King,men,men,FAIL,75000000,39251128,39251128,1999FAIL,104884652,54891212,54891212,4,3
1999,tt0149691,Anywhere But Here,dubious,dubious,FAIL,23000000,18653615,18653615,1999FAIL,32164627,26086372,26086372,4,3
1999,tt0145660,Austin Powers: The Spy Who Shagged Me,notalk-disagree,notalk,FAIL,35000000,206040085,310332636,1999FAIL,48946171,288139235,433988407,4,3
1999,tt0120601,Being John Malkovich,ok,ok,PASS,13000000,22858926,32382381,1999PASS,18180006,31967340,45285530,4,3
1999,tt0165643,Black and White,ok,ok,PASS,10000000,5241315,5241315,1999PASS,13984620,7329780,7329780,4,3
1999,tt0181316,Blue Streak,notalk,notalk,FAIL,36000000,68208190,117448157,1999FAIL,50344633,95386564,164246788,4,3
1999,tt0171804,Boys Don't Cry,ok-disagree,ok,PASS,2000000,11540607,20741000,1999PASS,2796924,16139101,29005501,4,3
1999,tt0179116,But I'm a Cheerleader,ok,ok,PASS,1200000,2205627,2629191,1999PASS,1678154,3084486,3676824,4,3
1999,tt0144814,Carrie 2: The Rage,ok,ok,PASS,21000000,17760244,17760244,1999PASS,29367703,24837027,24837027,4,3
1999,tt0139134,Cruel Intentions,ok,ok,PASS,11000000,38230075,75803716,1999PASS,15383082,53463308,106008618,4,3
1999,tt0144168,Dick,ok,ok,PASS,13000000,6276869,6276869,1999PASS,18180006,8777963,8777963,4,3
1999,tt0120655,Dogma,dubious-disagree,dubious,FAIL,10000000,30651422,43948865,1999FAIL,13984620,42864850,61460819,4,3
1999,tt0157503,Drop Dead Gorgeous,ok,ok,PASS,10000000,10571408,10571408,1999PASS,13984620,14783713,14783713,4,3
1999,tt0126886,Election,ok,ok,PASS,8500000,14943582,17202854,1999PASS,11886927,20898032,24057538,4,3
1999,tt0120663,Eyes Wide Shut,ok,ok,PASS,65000000,55691208,86257553,1999PASS,90900032,77882040,120627912,4,3
1999,tt0137523,Fight Club,notalk-disagree,notalk,FAIL,65000000,37030102,100853753,1999FAIL,90900032,51785192,141040144,4,3
1999,tt0155711,Flawless,notalk,notalk,FAIL,27000000,4485485,4485485,1999FAIL,37758475,6272780,6272780,4,3
1999,tt0126916,For Love of the Game,men,men,FAIL,50000000,35188640,46112640,1999FAIL,69923101,49209977,64486776,4,3
1999,tt0177789,Galaxy Quest,notalk-disagree,notalk,FAIL,45000000,71423726,90523726,1999FAIL,62930791,99883369,126593993,4,3
1999,tt0172493,"Girl, Interrupted",ok,ok,PASS,24000000,28871190,28871190,1999PASS,33563089,40375263,40375263,4,3
1999,tt0139239,Go!,ok,ok,PASS,6500000,16875273,28383441,1999PASS,9090003,23599429,39693164,4,3
1999,tt0155776,Jawbreaker,ok,ok,PASS,3000000,3076820,3076820,1999PASS,4195386,4302816,4302816,4,3
1999,tt0175880,Magnolia,notalk-disagree,notalk,FAIL,37000000,22450975,48446802,1999FAIL,51743095,31396836,67751013,4,3
1999,tt0158811,Muppets From Space,ok,ok,PASS,24000000,16304786,16304786,1999PASS,33563089,22801624,22801624,4,3
1999,tt0132347,Mystery Men,nowomen-disagree,nowomen,FAIL,68000000,29762011,33462011,1999FAIL,95095418,41621042,46795352,4,3
1999,tt0125439,Notting Hill,ok,ok,PASS,42000000,116089678,363728226,1999PASS,58735405,162347007,508660113,4,3
1999,tt0151804,Office Space,notalk,notalk,FAIL,10000000,10827813,12827813,1999FAIL,13984620,15142285,17939209,4,3
1999,tt0120784,Payback,notalk,notalk,FAIL,50000000,81526121,161626121,1999FAIL,69923101,114011185,226027993,4,3
1999,tt0190641,Pocket Monsters: Mewtwo Strikes Back!,notalk-disagree,notalk,FAIL,30000000,85744662,163644662,1999FAIL,41953861,119910654,228850846,4,3
1999,tt0129332,Ravenous,notalk,notalk,FAIL,12000000,2062406,2062406,1999FAIL,16781544,2884196,2884196,4,3
1999,tt0162661,Sleepy Hollow,ok,ok,PASS,70000000,101068340,207068340,1999PASS,97892342,141340236,289577211,4,3
1999,tt0158983,South Park: Bigger Longer & Uncut,dubious-disagree,dubious,FAIL,21000000,52037603,52037603,1999FAIL,29367703,72772612,72772612,4,3
1999,tt0120915,Star Wars: Episode I - The Phantom Menace,ok,ok,PASS,115000000,474544677,1007044677,1999PASS,160823133,663632711,1408313741,4,3
1999,tt0164912,Stuart Little,notalk-disagree,notalk,FAIL,105000000,140015224,298800000,1999FAIL,146838513,195805974,417860454,4,3
1999,tt0120855,Tarzan,men-disagree,men,FAIL,145000000,171091819,448191819,1999FAIL,202776994,239265412,626779240,4,3
1999,tt0120657,The 13th Warrior,dubious-disagree,dubious,FAIL,125000000,32698899,61698899,1999FAIL,174807753,45728169,86283567,4,3
1999,tt0185937,The Blair Witch Project,ok,ok,PASS,600000,140539099,248300000,1999PASS,839077,196538593,347238122,4,3
1999,tt0144117,The Boondock Saints,nowomen-disagree,nowomen,FAIL,7000000,30471,411874,1999FAIL,9789234,42613,575990,4,3
1999,tt0120689,The Green Mile,notalk-disagree,notalk,FAIL,60000000,136801374,290701374,1999FAIL,83907722,191311527,406534833,4,3
1999,tt0171363,The Haunting,ok,ok,PASS,80000000,91188905,180188905,1999PASS,111876962,127524221,251987342,4,3
1999,tt0129167,The Iron Giant,nowomen-disagree,nowomen,FAIL,50000000,23159305,31333917,1999FAIL,69923101,32387409,43819293,4,3
1999,tt0133093,The Matrix,ok-disagree,ok,PASS,65000000,171479930,460279930,1999PASS,90900032,239808171,643684004,4,3
1999,tt0120616,The Mummy,notalk,notalk,FAIL,80000000,155385488,416385488,1999FAIL,111876962,217300705,582299294,4,3
1999,tt0167404,The Sixth Sense,dubious-disagree,dubious,FAIL,40000000,293506292,672806292,1999FAIL,55938481,410457404,940894052,4,3
1999,tt0134119,The Talented Mr. Ripley,dubious,dubious,FAIL,40000000,81292135,128792135,1999FAIL,55938481,113683964,180110910,4,3
1999,tt0144640,Three to Tango,notalk,notalk,FAIL,20000000,10570375,10570375,1999FAIL,27969241,14782268,14782268,4,3
1999,tt0151568,Topsy-Turvy,ok,ok,PASS,20000000,6201757,6201757,1999PASS,27969241,8672922,8672922,4,3
1999,tt0120363,Toy Story 2,notalk-disagree,notalk,FAIL,90000000,245852179,511358276,1999FAIL,125861583,343814937,715115132,4,3
1999,tt0120458,Virus,dubious,dubious,FAIL,75000000,14010690,30626690,1999FAIL,104884652,19593418,42830263,4,3
1999,tt0120891,Wild Wild West,men,men,FAIL,175000000,113805681,221229335,1999FAIL,244730855,159152923,309380824,4,3
1999,tt0131646,Wing Commander,men,men,FAIL,30000000,11578022,11578022,1999FAIL,41953861,16191424,16191424,4,3
1998,tt0120577,54,notalk,notalk,FAIL,13000000,16757163,16757163,1998FAIL,18578720,23948203,23948203,4,3
1998,tt0120623,A Bug's Life,ok,ok,PASS,45000000,162798565,363095319,1998PASS,64310954,232660690,518911253,4,3
1998,tt0120586,American History X,men-disagree,men,FAIL,10000000,6719864,6719864,1998FAIL,14291323,9603575,9603575,4,3
1998,tt0120591,Armageddon,notalk,notalk,FAIL,140000000,201578182,554600000,1998FAIL,200078524,288081893,792596781,4,3
1998,tt0120603,Beloved,ok,ok,PASS,53000000,22852487,22852487,1998PASS,75744013,32659228,32659228,4,3
1998,tt0120611,Blade,notalk,notalk,FAIL,45000000,70141876,131237688,1998FAIL,64310954,100242021,187556021,4,3
1998,tt0144120,Bride of Chucky,notalk,notalk,FAIL,25000000,32404188,50692188,1998FAIL,35728308,46309872,72445844,4,3
1998,tt0118789,Buffalo '66,notalk,notalk,FAIL,1500000,2380606,2380606,1998FAIL,2143698,3402201,3402201,4,3
1998,tt0118929,Dark City,notalk-disagree,notalk,FAIL,27000000,14435076,27257061,1998FAIL,38586572,20629634,38953947,4,3
1998,tt0120647,Deep Impact,ok,ok,PASS,80000000,140464664,349464664,1998PASS,114330585,200742590,499431243,4,3
1998,tt0134619,Disturbing Behavior,notalk,notalk,FAIL,15000000,17507368,17507368,1998FAIL,21436985,25020345,25020345,4,3
1998,tt0127536,Elizabeth,ok,ok,PASS,25000000,30082699,82150642,1998PASS,35728308,42992157,117404137,4,3
1998,tt0120660,Enemy of the State,notalk,notalk,FAIL,85000000,111549836,250649836,1998FAIL,121476247,159419475,358211780,4,3
1998,tt0120631,Ever After,ok,ok,PASS,26000000,65705772,65705772,1998PASS,37157440,93902242,93902242,4,3
1998,tt0120669,Fear and Loathing in Las Vegas,notalk,notalk,FAIL,18500000,10680275,13711903,1998FAIL,26438948,15263526,19596124,4,3
1998,tt0154420,Festen (The Celebration),dubious-disagree,dubious,FAIL,1300000,1647780,1647780,1998FAIL,1857872,2354896,2354896,4,3
1998,tt0162973,Get Real,men,men,FAIL,2000000,1152411,1152411,1998FAIL,2858265,1646948,1646948,4,3
1998,tt0120685,Godzilla,dubious,dubious,FAIL,125000000,136314294,3.76E+08,1998FAIL,178641539,194811162,537353750,4,3
1998,tt0120694,Halloween H20: 20 Years Later,ok,ok,PASS,17000000,55041738,55041738,1998PASS,24295249,78661926,78661926,4,3
1998,tt0147612,Happiness,ok,ok,PASS,3000000,2746453,5746453,1998PASS,4287397,3925045,8212442,4,3
1998,tt0119313,Hope Floats,ok,ok,PASS,30000000,60110313,81529000,1998PASS,42873969,85905591,116515728,4,3
1998,tt0147004,Little Voice,ok,ok,PASS,6000000,4595000,21787233,1998PASS,8574794,6566863,31136839,4,3
1998,tt0120735,"Lock, Stock and Two Smoking Barrels",notalk,notalk,FAIL,1350000,3897569,28356188,1998FAIL,1929329,5570142,40524745,4,3
1998,tt0120738,Lost in Space,ok,ok,PASS,80000000,69117629,136047317,1998PASS,114330585,98778237,194429617,4,3
1998,tt0120749,Mercury Rising,notalk,notalk,FAIL,60000000,32983332,32983332,1998FAIL,85747939,47137546,47137546,4,3
1998,tt0120762,Mulan,dubious-disagree,dubious,FAIL,90000000,120620254,303500000,1998FAIL,128621908,172382303,433741657,4,3
1998,tt0120780,Out of Sight,men,men,FAIL,48000000,37562568,77562568,1998FAIL,68598351,53681880,110847172,4,3
1998,tt0138704,Pi,men,men,FAIL,68000,3221152,4678513,1998FAIL,97181,4603452,6686214,4,3
1998,tt0120791,Practical Magic,ok,ok,PASS,60000000,46850558,68336997,1998PASS,85747939,66955646,97662611,4,3
1998,tt0119942,Primary Colors,ok,ok,PASS,65000000,39017984,39017984,1998PASS,92893600,55761862,55761862,4,3
1998,tt0120800,Quest for Camelot,ok,ok,PASS,40000000,22772500,38172500,1998PASS,57165293,32544916,54553553,4,3
1998,tt0128442,Rounders,notalk,notalk,FAIL,12000000,22921898,22921898,1998FAIL,17149588,32758425,32758425,4,3
1998,tt0130827,Run Lola Run,notalk-disagree,notalk,FAIL,1750000,7267324,14533173,1998FAIL,2500982,10385968,20769827,4,3
1998,tt0120812,Rush Hour,ok-disagree,ok,PASS,35000000,141186864,245300000,1998PASS,50019631,201774709,350566156,4,3
1998,tt0128445,Rushmore,notalk-disagree,notalk,FAIL,10000000,17105219,19080435,1998FAIL,14291323,24445621,27268466,4,3
1998,tt0120813,Safe Men,nowomen,nowomen,FAIL,1000000,21210,21210,1998FAIL,1429132,30312,30312,4,3
1998,tt0120815,Saving Private Ryan,nowomen,nowomen,FAIL,65000000,216335085,485035085,1998FAIL,92893600,309171460,693179313,4,3
1998,tt0138097,Shakespeare in Love,ok,ok,PASS,26000000,100317794,279500000,1998PASS,37157440,143367401,399442481,4,3
1998,tt0120828,Six Days Seven Nights,notalk,notalk,FAIL,80000000,74339294,164800000,1998FAIL,114330585,106240687,235521005,4,3
1998,tt0120148,Sliding Doors,ok,ok,PASS,6000000,11911200,58809149,1998PASS,8574794,17022681,84046055,4,3
1998,tt0120831,Slums of Beverly Hills,ok,ok,PASS,5000000,5502773,5502773,1998PASS,7145662,7864191,7864191,4,3
1998,tt0122718,Small Soldiers,notalk,notalk,FAIL,40000000,55143823,71743823,1998FAIL,57165293,78807819,102531416,4,3
1998,tt0120321,Smoke Signals,ok,ok,PASS,2000000,6719300,7756617,1998PASS,2858265,9602769,11085232,4,3
1998,tt0120184,Sphere,notalk,notalk,FAIL,73000000,37068294,50168294,1998FAIL,104326659,52975497,71697130,4,3
1998,tt0120844,Star Trek: Insurrection,ok,ok,PASS,70000000,70187658,117800000,1998PASS,100039262,100307450,168351786,4,3
1998,tt0120686,Stepmom,ok,ok,PASS,50000000,91137662,159745279,1998PASS,71456616,130247778,228297140,4,3
1998,tt0118661,The Avengers,ok,ok,PASS,60000000,23385416,48585416,1998PASS,85747939,33420854,69434988,4,3
1998,tt0118715,The Big Lebowski,notalk-disagree,notalk,FAIL,15000000,17498804,46189568,1998FAIL,21436985,25008106,66011004,4,3
1998,tt0133751,The Faculty,dubious,dubious,FAIL,15000000,40283321,40283321,1998FAIL,21436985,57570196,57570196,4,3
1998,tt0120744,The Man in the Iron Mask,notalk-disagree,notalk,FAIL,35000000,56968169,56968169,1998FAIL,50019631,81415051,81415051,4,3
1998,tt0120746,The Mask of Zorro,notalk-disagree,notalk,FAIL,65000000,93828745,233700000,1998FAIL,92893600,134093691,333988221,4,3
1998,tt0120768,The Negotiator,notalk,notalk,FAIL,50000000,44705766,49105766,1998FAIL,71456616,63890455,70178637,4,3
1998,tt0120794,The Prince of Egypt,notalk-disagree,notalk,FAIL,60000000,101413188,218600000,1998FAIL,85747939,144932864,312408324,4,3
1998,tt0120108,The Proposition,men,men,FAIL,20000000,1903434,5313608,1998FAIL,28582646,2720259,7593849,4,3
1998,tt0120863,The Thin Red Line,notalk,notalk,FAIL,52000000,36400491,36400491,1998FAIL,74314880,52021118,52021118,4,3
1998,tt0120382,The Truman Show,notalk-disagree,notalk,FAIL,60000000,125618201,248400000,1998FAIL,85747939,179525030,354996466,4,3
1998,tt0129387,There's Something About Mary,ok,ok,PASS,22000000,176484651,360099999,1998PASS,31440911,252219917,514630544,4,3
1998,tt0146336,Urban Legend,ok,ok,PASS,14000000,38116707,72571864,1998PASS,20007852,54473818,103714796,4,3
1998,tt0120877,Vampires (John Carpenter's),nowomen,nowomen,FAIL,20000000,20268825,20268825,1998FAIL,28582646,28966833,28966833,4,3
1998,tt0120879,Velvet Goldmine,men,men,FAIL,9000000,1053788,4861972,1998FAIL,12862191,1506002,6948401,4,3
1998,tt0120890,Wild Things,men-disagree,men,FAIL,20000000,29795299,55576699,1998FAIL,28582646,42581425,79426456,4,3
1998,tt0128853,You've Got Mail,ok,ok,PASS,65000000,115821495,250800000,1998PASS,92893600,165524241,358426384,4,3
1997,tt0120133,A Simple Wish,ok,ok,PASS,28000000,8165213,8165213,1997PASS,40634668,11849668,11849668,4,3
1997,tt0118570,Air Bud,notalk,notalk,FAIL,3000000,24646936,27788649,1997FAIL,4353714,35768573,40327947,4,3
1997,tt0118571,Air Force One,notalk,notalk,FAIL,85000000,172956409,315268353,1997FAIL,123355241,251000935,457529453,4,3
1997,tt0118583,Alien: Resurrection,ok,ok,PASS,60000000,47795018,160700000,1997PASS,87074287,69361952,233213967,4,3
1997,tt0118617,Anastasia,ok,ok,PASS,53000000,58403409,139801410,1997PASS,76915621,84757254,202885136,4,3
1997,tt0119822,As Good as It Gets,ok,ok,PASS,50000000,148478011,314111923,1997PASS,72561906,215476950,455851198,4,3
1997,tt0118655,Austin Powers: International Man of Mystery,men,men,FAIL,18000000,53883989,67683989,1997FAIL,26122286,78198499,98225585,4,3
1997,tt0118688,Batman & Robin,men-disagree,men,FAIL,125000000,107325195,238317814,1997FAIL,181404766,155754415,345855898,4,3
1997,tt0118749,Boogie Nights,dubious-disagree,dubious,FAIL,15000000,26410771,43111725,1997FAIL,21768572,38328318,62565379,4,3
1997,tt0118829,Cats Don't Dance,ok,ok,PASS,32000000,3588602,3588602,1997PASS,46439620,5207916,5207916,4,3
1997,tt0118842,Chasing Amy,ok,ok,PASS,250000,12006514,15155095,1997PASS,362810,17424311,21993652,4,3
1997,tt0128996,Cinderella,ok,ok,PASS,2900000,8.50E+07,8.50E+07,1997PASS,4208591,123355241,123355241,4,3
1997,tt0118866,Clockwatchers,ok,ok,PASS,2000000,537948,539961,1997PASS,2902476,780691,783612,4,3
