age,gender,raceethnicity,year,state,cause,armed,pop,share_white,share_black,share_hispanic,nat_bucket,pov,urate
16,Male,Black,2015,AL,Gunshot,No,3779,60.5,30.5,5.6,3,14.1,0.097686375
27,Male,White,2015,LA,Gunshot,No,2769,53.8,36.2,0.5,1,28.8,0.065723794
26,Male,White,2015,WI,Gunshot,No,4079,73.8,7.7,16.8,3,14.6,0.166293142
25,Male,Hispanic/Latino,2015,CA,Gunshot,Firearm,4343,1.2,0.6,98.8,3,11.7,0.124827269
29,Male,White,2015,OH,Gunshot,No,6809,92.5,1.4,1.7,4,1.9,0.063549832
29,Male,White,2015,AZ,Gunshot,No,4682,7,7.7,79,1,58,0.073651452
22,Male,Hispanic/Latino,2015,CA,Gunshot,Firearm,5027,50.8,0.3,44.2,4,17.2,0.131461131
35,Male,Hispanic/Latino,2015,CA,Gunshot,Non-lethal firearm,5238,8.6,0.2,84.1,4,12.2,0.094346979
44,Male,White,2015,TX,Gunshot,Firearm,4832,14.6,17.7,66.3,1,37.7,0.140832976
31,Male,White,2015,MI,Gunshot,Other,3795,63.6,7.7,26.5,2,18.4,0.174167417
76,Male,White,2015,CA,Gunshot,Knife,2786,51.4,0.9,44.9,3,9.2,0.041085271
40,Male,White,2015,CA,Gunshot,No,9429,67.3,0.6,12.9,5,4.4,0.057580779
NA,Male,Hispanic/Latino,2015,TX,Gunshot,No,11228,7.5,32.1,53.3,3,18.1,0.073771857
31,Male,White,2015,IN,Gunshot,Firearm,3413,83.7,7.6,3.1,2,13.1,0.054470101
23,Male,White,2015,IN,Gunshot,Non-lethal firearm,5573,64,23.5,7.5,2,26,0.067321178
39,Male,Hispanic/Latino,2015,TN,Gunshot,Firearm,6315,37.5,27,24.7,1,36.3,0.088225858
25,Female,Black,2015,GA,Gunshot,Vehicle,1997,30.5,58.4,6.4,3,42.4,0.229482072
54,Male,Hispanic/Latino,2015,VA,Gunshot,Firearm,3651,52.2,16.2,15.7,2,20.5,0.011916111
24,Female,White,2015,CA,Gunshot,Firearm,5286,44.8,6.9,16.5,4,11.6,0.040850588
57,Male,Black,2015,CA,Death in custody,No,5740,31.3,7.5,15.2,5,6.4,0.063268366
21,Male,Hispanic/Latino,2015,CA,Gunshot,Vehicle,4303,28.3,5.1,58.1,4,12.7,0.115890508
42,Male,Black,2015,NE,Death in custody,No,5213,92.3,2.3,2.9,3,10.3,0.035221496
21,Male,Hispanic/Latino,2015,KS,Gunshot,Other,4149,40.3,10.7,41.4,1,36.5,0.178185745
36,Male,White,2015,CA,Gunshot,Firearm,6460,17.8,4.4,76.4,2,24.4,0.262976968
26,Male,White,2015,OK,Gunshot,Firearm,3348,77.7,0.9,9.7,1,20.3,0.011335013
49,Male,White,2015,OR,Gunshot,Firearm,5824,78.1,2.2,15.1,2,24.8,0.131158917
54,Male,White,2015,NH,Gunshot,Firearm,4521,94,1.8,1.9,4,5.4,0.087385483
26,Male,White,2015,CA,Gunshot,Firearm,3202,7.7,6,77.9,3,17.4,0.098980204
48,Male,Black,2015,FL,Gunshot,Firearm,6172,86.2,7.4,6.5,2,18.2,0.176148796
33,Male,Hispanic/Latino,2015,TX,Gunshot,Firearm,4160,6,3.4,89.9,1,58.1,0.14461316
21,Male,Hispanic/Latino,2015,CA,Gunshot,Knife,7886,56.6,1.2,35.9,3,24.1,0.17323741
41,Male,Black,2015,MA,Gunshot,Firearm,4924,1.6,66.4,35.2,1,41.3,0.22039801
48,Male,Black,2015,TN,Gunshot,Vehicle,4228,0.6,98.6,0,2,18.9,0.218520333
36,Male,Black,2015,AL,Gunshot,Knife,6018,89.9,4.3,1.4,4,8.9,0.063658099
41,Male,Hispanic/Latino,2015,GA,Gunshot,Firearm,5601,93.7,0.6,5.1,3,9.5,0.133676093
29,Male,Black,2015,PA,Gunshot,Knife,2742,42,12.3,37.1,2,9.3,0.206855081
27,Male,Black,2015,GA,Gunshot,No,3305,60.1,9.5,13.7,4,18.6,0.170409511
45,Male,White,2015,GA,Gunshot,Firearm,4838,65.1,23.7,6.3,2,27.8,0.11037302
32,Male,Hispanic/Latino,2015,CA,Gunshot,Firearm,2584,4.3,3.4,89.6,1,37.4,0.123766135
35,Male,Hispanic/Latino,2015,WA,Gunshot,Firearm,6747,16.5,0.9,78.7,1,35.9,0.131743119
36,Male,Black,2015,AR,Gunshot,Firearm,3245,53.7,44.4,1.8,1,15.6,0.055732484
35,Male,Black,2015,GA,Taser,Knife,4947,94.1,2.4,2.6,2,20.5,0.150121065
40,Male,Hispanic/Latino,2015,OK,Gunshot,Vehicle,5887,33.9,2.6,56.6,1,25.1,0.142746615
18,Male,White,2015,FL,Gunshot,Firearm,5004,83.9,4,5.5,3,17.1,0.115461847
34,Female,White,2015,IA,Gunshot,Firearm,4465,72.1,14.5,6.8,1,26.3,0.105963791
39,Male,Hispanic/Latino,2015,CA,Gunshot,Knife,8623,4.2,0.2,93.9,3,20.6,0.123624444
21,Male,Hispanic/Latino,2015,TX,Gunshot,Other,3013,3.3,11.7,84.7,1,36.2,0.109816972
62,Male,Black,2015,GA,Struck by vehicle,No,3580,5.1,85.1,6.2,1,41.4,0.23108747
43,Female,White,2015,NC,Gunshot,Firearm,5876,59.9,31.7,2.9,1,28.7,0.195510204
44,Male,White,2015,NM,Gunshot,Firearm,5203,15.8,0.3,81.5,2,25.8,0.076500588
29,Male,White,2015,OK,Gunshot,Firearm,4601,39.3,0.1,1.7,2,19.1,0.042686101
35,Male,Black,2015,DC,Gunshot,Firearm,2664,60.6,7.8,10.5,5,11.9,0.019665683
50,Male,White,2015,FL,Gunshot,Knife,8874,57,17.7,19.8,2,14.1,0.080136986
18,Male,Black,2015,OH,Gunshot,Firearm,2182,0,98.9,0.1,1,32.8,0.204280156
25,Male,White,2015,TX,Gunshot,Firearm,6701,74.9,0.8,22.8,4,10.2,0.047407913
31,Male,White,2015,ID,Gunshot,Knife,9680,89,0,8.1,4,9.5,0.095137421
29,Male,Black,2015,CA,Gunshot,Firearm,2860,70.7,4.5,15.5,4,13.2,0.12679524
49,Male,White,2015,OR,Gunshot,Firearm,5057,79.7,1.4,14.5,3,21.6,0.150479846
23,Male,NA,2015,CA,Gunshot,Firearm,4179,2,1.1,96.6,2,16.3,0.125765426
45,Male,White,2015,CO,Gunshot,Knife,3880,69.7,0.1,28,4,7.7,0.044583333
26,Male,Black,2015,CA,Taser,Firearm,3078,1.9,47.3,45.9,2,23.6,0.214183381
35,Male,White,2015,KS,Gunshot,Knife,3770,94.9,0.6,3.2,4,9.5,0.041356877
34,Male,White,2015,OR,Gunshot,Non-lethal firearm,4689,93.2,0.3,2.2,4,5,0.110323438
46,Male,Asian/Pacific Islander,2015,HI,Gunshot,No,1392,43,7.7,1,4,14.4,0.055155875
29,Male,Black,2015,KY,Gunshot,Knife,10220,86.2,6.4,3.9,4,8.6,0.053564237
39,Male,Black,2015,FL,Taser,Firearm,4828,73.2,6,14.4,2,7.8,0.081150488
28,Male,Asian/Pacific Islander,2015,CA,Gunshot,Knife,3568,12.2,18.9,48.3,1,50.7,0.348008386
51,Male,Hispanic/Latino,2015,AZ,Gunshot,Knife,3035,46,0.9,51.3,2,25.8,0.103244838
67,Male,White,2015,KY,Gunshot,Firearm,2422,95.9,0,0,1,34.2,0.312611012
53,Male,White,2015,FL,Gunshot,Firearm,5102,94.4,0.5,2.9,4,10.6,0.099182004
25,Male,Black,2015,MI,Gunshot,No,2560,0,98.4,1,1,46.3,0.258064516
30,Male,Black,2015,FL,Gunshot,Knife,2621,18.1,67.5,11.5,1,47.4,0.155444722
24,Male,Hispanic/Latino,2015,TX,Gunshot,No,4049,6.5,31.8,58.6,1,40.9,0.062886598
35,Male,White,2015,CA,Taser,Firearm,2367,40.7,1.4,35.8,1,32.2,0.214501511
43,Male,Black,2015,CA,Gunshot,Vehicle,5222,18,54.9,23,1,79.2,0.439590444
24,Male,White,2015,SC,Gunshot,Firearm,5304,71.5,20.2,3.9,2,14.4,0.095290859
29,Male,White,2015,AZ,Gunshot,Firearm,3357,41,1.7,53.4,4,10.9,0.107042254
38,Male,Black,2015,KY,Gunshot,Firearm,3548,88.7,3,1.7,4,10.9,0.032068063
31,Male,White,2015,AR,Gunshot,No,3886,67.2,21.7,10,2,18.2,0.092469018
36,Male,White,2015,OR,Gunshot,Other,7687,61.8,6.4,15.4,2,31,0.138262782
23,Male,White,2015,GA,Gunshot,Firearm,18168,52.5,36.5,4.4,4,12.2,0.050383481
38,Male,White,2015,VA,Gunshot,Firearm,6987,78.2,5.4,14.2,3,11.6,0.103721571
53,Male,White,2015,WV,Gunshot,No,3292,94.9,3.7,0.3,2,14.4,0.13483871
24,Male,White,2015,UT,Gunshot,Knife,6457,62.7,0.3,28.3,2,20.5,0.071107364
26,Male,White,2015,TX,Gunshot,Firearm,10229,32.9,15,48.3,3,19.4,0.068076536
28,Male,Black,2015,MO,Gunshot,Firearm,4377,82.8,4.9,5.3,2,36.2,0.034616881
34,Female,White,2015,GA,Gunshot,Knife,3520,63.6,7.7,21.4,3,14.8,0.140276302
28,Male,Black,2015,FL,Gunshot,Firearm,11284,31.8,51,12,2,20,0.149261335
40,Male,Black,2015,MD,Taser,Firearm,3121,3.8,81.2,6.1,2,19.9,0.159026599
51,Male,Black,2015,NY,Gunshot,No,4941,1.5,83.1,15.6,2,20.1,0.106880138
44,Male,White,2015,NE,Gunshot,Firearm,4293,87.8,0,10.3,3,16.5,0.025311025
25,Male,Hispanic/Latino,2015,TX,Gunshot,Firearm,4917,8.5,0.4,89.6,1,21.5,0.144497608
56,Male,White,2015,AZ,Gunshot,Knife,8205,69.3,2.8,17.8,4,3,0.079104478
37,Male,Hispanic/Latino,2015,WA,Gunshot,Firearm,3531,51.6,11,18.4,2,18,0.131736527
58,Male,White,2015,FL,Gunshot,Firearm,11794,62.5,15.8,15.9,3,9.4,0.12539185
39,Male,White,2015,NE,Gunshot,Firearm,2314,55.5,6.4,36,1,30.5,0.093378608
37,Male,Hispanic/Latino,2015,AZ,Gunshot,No,3887,49.2,0.1,49.8,2,15.7,0.188067445
35,Male,Black,2015,NJ,Gunshot,Knife,4904,23.7,54.6,7,4,10.9,0.1
26,Male,Black,2015,MD,Gunshot,Firearm,1625,17.4,75.7,0,1,51,0.309882747
47,Male,Black,2015,OK,Taser,Firearm,1812,43.6,4.9,36,1,33.4,0.203271028
31,Male,Black,2015,MD,Taser,Firearm,1970,41.5,52.6,3.1,1,46.7,0.348777349
60,Male,White,2015,SC,Gunshot,No,5787,65.4,32.1,1.5,2,18.4,0.148903424
32,Male,Black,2015,IL,Gunshot,No,2023,40.4,44,10.4,2,26.9,0.166843783
45,Male,White,2015,ID,Gunshot,Non-lethal firearm,3481,88.9,0.1,6.4,1,42.4,0.091570649
42,Male,Hispanic/Latino,2015,FL,Gunshot,Firearm,5059,75.3,13.7,10.5,2,14.3,0.155357805
17,Male,White,2015,CO,Gunshot,Firearm,2291,74,1.3,20.3,1,25.7,0.079276773
22,Male,Hispanic/Latino,2015,TX,Gunshot,Firearm,3864,20.4,9.8,70.7,1,26.2,0.131071191
33,Male,Hispanic/Latino,2015,CA,Gunshot,Firearm,4934,5.7,6.1,88.5,1,50.6,0.151145038
18,Male,White,2015,NC,Gunshot,No,5100,88.2,8.5,1.4,4,8.5,0.038598999
39,Male,White,2015,MI,Taser,Firearm,4596,94.1,3.2,1.5,4,11.2,0.145936982
59,Male,White,2015,PA,Gunshot,Firearm,4487,92.2,2.9,5.9,4,7.4,0.034010601
33,Male,White,2015,OK,Taser,Firearm,4745,44.7,25,1.9,1,34.7,0.11886697
58,Male,White,2015,OH,Gunshot,Firearm,2991,94.3,3.9,1.1,2,8.7,0.037341299
58,Male,White,2015,NY,Gunshot,No,4968,95.7,0,2,3,12.9,0.158176944
47,Male,White,2015,LA,Struck by vehicle,Firearm,3403,51.3,47.8,0.9,1,43.1,0.192203083
41,Male,White,2015,CT,Taser,Other,4066,76.8,2.1,8.8,4,8.3,0.071680376
64,Male,White,2015,CA,Struck by vehicle,Firearm,4225,22.5,1.8,64.6,3,7.3,0.068592058
45,Male,White,2015,CA,Gunshot,Firearm,4791,9.5,0,33.9,4,24.3,0.11815301
53,Female,White,2015,KS,Gunshot,Firearm,4643,87.1,1.8,3.4,4,6.3,0.035865793
24,Male,White,2015,NC,Gunshot,Knife,6056,54.9,22,19.1,1,26.7,0.116172169
48,Male,Black,2015,LA,Gunshot,Firearm,4232,10.8,86.4,2.6,2,38.3,0.057540884
29,Male,Black,2015,FL,Gunshot,No,6074,3.2,94.4,5,1,26.9,0.160730056
40,Male,Hispanic/Latino,2015,NY,Death in custody,Firearm,5169,0.9,19.5,71.9,1,36.7,0.176021554
34,Male,White,2015,CA,Gunshot,Vehicle,5029,47.3,6.7,29,4,10.8,0.056382146
21,Male,Black,2015,NY,Gunshot,Firearm,8222,28.9,22.8,39.6,4,4.4,0.109368376
26,Male,White,2015,FL,Gunshot,NA,3536,52.2,5.1,41.5,2,17.4,0.102382486
45,Male,Black,2015,TX,Gunshot,Firearm,4044,0.4,84.8,14,1,40.1,0.172051696
25,Male,Black,2015,LA,Gunshot,Firearm,3085,19,46.1,28.8,1,39.4,0.018193225
17,Male,White,2015,MI,Gunshot,Non-lethal firearm,3751,96.1,0.1,3.1,4,8.5,0.090425532
24,Male,Black,2015,CA,Gunshot,Other,6461,23.6,3,49.1,4,9.1,0.107110979
42,Male,Black,2015,AZ,Gunshot,Knife,4542,86.8,0.3,10.5,3,10,0.024411135
29,Male,Black,2015,CA,Gunshot,Firearm,5072,37.5,5,54.3,3,20.7,0.175749894
42,Male,Black,2015,GA,Gunshot,Knife,2156,54.9,42.7,0.6,1,19.3,0.111002921
30,Male,Black,2015,VA,Taser,Firearm,6106,55,22.1,14.9,3,14.8,0.0509487
29,Male,Black,2015,IN,Gunshot,Firearm,2733,76.2,0,19.9,2,21.8,0.087258687
39,Male,Black,2015,NY,Taser,Firearm,5335,9.3,81.6,13.5,1,44.5,0.125672372
63,Male,White,2015,IL,Gunshot,Non-lethal firearm,3721,83.5,9,1.1,3,11.3,0.104347826
49,Male,White,2015,MS,Gunshot,Firearm,6604,94.3,4.7,0.1,2,22.9,0.105180534
41,Male,Black,2015,SC,Gunshot,Firearm,3700,70.6,24.1,1.5,2,26,0.131529264
27,Male,Black,2015,IN,Gunshot,Other,7499,21.5,53,20.9,2,28.9,0.121461408
30,Male,White,2015,MA,Gunshot,No,5994,91.1,2.1,3.4,5,1.8,0.058623619
60,Male,White,2015,TX,Gunshot,Knife,8023,25.2,17.5,53.5,2,15.4,0.09619801
77,Male,Black,2015,AL,Gunshot,No,3708,22.2,77.8,1.5,1,37.5,0.145048815
19,Male,NA,2015,AZ,Gunshot,No,5206,65,0.9,30.3,2,21.7,0.216194332
37,Male,Hispanic/Latino,2015,CA,Gunshot,Firearm,5950,15.6,5.8,66,4,7.6,0.160571809
54,Male,Black,2015,MD,Gunshot,Firearm,3070,11.3,86.4,0,3,10.1,0.067278287
29,Male,Hispanic/Latino,2015,CA,Gunshot,Firearm,2886,48.3,8.1,38.4,1,32,0.216848674
30,Male,Black,2015,TX,Gunshot,No,4775,34.7,16.3,14.6,3,9.2,0.092148913
24,Male,Hispanic/Latino,2015,NJ,Gunshot,Knife,6844,43,18.6,23.5,3,11.1,0.032626816
21,Male,White,2015,AZ,Gunshot,Firearm,5206,65,0.9,30.3,2,21.7,0.216194332
44,Male,Black,2015,OK,Gunshot,Firearm,3300,52.2,23.8,10.1,2,26.7,0.080686695
40,Male,White,2015,AZ,Gunshot,Firearm,5269,68.6,0,23.6,3,16.3,0.059301769
32,Male,White,2015,OK,Gunshot,Knife,4681,84.1,0.3,3.8,4,18,0.053372149
22,Male,Hispanic/Latino,2015,TX,Gunshot,Knife,5921,7.9,2.1,83.7,4,17.8,0.05323741
43,Male,White,2015,AZ,Gunshot,Firearm,3082,20.6,5.9,71.2,1,39.9,0.12
52,Male,Hispanic/Latino,2015,CA,Gunshot,Knife,7528,12.6,3.5,77,3,23.2,0.135651629
27,Male,Hispanic/Latino,2015,CA,Gunshot,No,9699,0.5,0.2,96.3,2,25.7,0.065989848
34,Male,White,2015,NM,Gunshot,Vehicle,4356,67.9,0,27.1,3,12.5,0.078817734
20,Male,White,2015,TX,Gunshot,No,6613,84.7,4.4,7.5,2,16.3,0.133622126
25,Male,Black,2015,MD,Gunshot,Firearm,6493,11.1,75.1,11.3,1,23.4,0.206338726
24,Male,Black,2015,NY,Gunshot,Knife,4074,63.1,0.5,6.5,4,11,0.082673703
20,Male,NA,2015,CA,Gunshot,Firearm,4863,46.4,6.1,24.4,4,11.3,0.086558761
46,Male,White,2015,AL,Gunshot,Firearm,4720,66.2,30.9,0.1,2,20.1,0.078163166
42,Male,White,2015,CA,Gunshot,Firearm,4284,70.2,1.3,23.3,3,23.6,0.086389961
43,Male,White,2015,NV,Gunshot,Firearm,4726,39.3,27.1,22.1,2,19.9,0.163898117
41,Male,Black,2015,TX,Gunshot,No,4412,21.2,19,57.8,5,14.6,0.081424936
59,Male,White,2015,MO,Gunshot,No,4411,34.2,57.3,1.1,3,14.1,0.138454667
25,Male,Black,2015,MD,Death in custody,Firearm,3544,0.1,99.4,0,1,39.1,0.254367575
42,Male,White,2015,CA,Gunshot,Firearm,2674,56.7,9.1,24,1,23,0.090163934
64,Male,White,2015,FL,Gunshot,Firearm,1911,66.2,28.5,3.8,1,36.6,0.091334895
22,Male,White,2015,MA,Struck by vehicle,NA,3396,90,9.3,0,4,7.7,0.096795291
24,Male,White,2015,OK,Gunshot,Knife,5383,86.9,0.7,2.9,5,1.3,0.049786629
63,Male,White,2015,OK,Gunshot,No,2650,69.1,0.8,2.6,1,20.4,0.086882453
56,Male,White,2015,CA,Gunshot,No,4040,80.6,0.6,10.5,5,7.5,0.057553957
60,Male,White,2015,IN,Gunshot,No,6460,96.3,0.3,0.2,2,20.1,0.075280112
54,Male,White,2015,AL,Gunshot,Firearm,6971,82.8,15,0.4,3,8.3,0.073079325
37,Male,Black,2015,OK,Gunshot,No,5823,57.8,7.4,20.3,1,31.3,0.04467354
22,Male,White,2015,FL,Gunshot,Firearm,12351,74.2,10.8,9.1,4,15.8,0.108825481
39,Male,White,2015,IN,Taser,Firearm,7338,61.4,24.2,10.7,4,8.8,0.086255656
45,Male,White,2015,FL,Gunshot,Knife,4239,84.3,4.6,6,2,19.2,0.114788437
57,Male,White,2015,GA,Gunshot,No,3422,89,8.6,1.9,3,6.6,0.066384181
42,Male,White,2015,WV,Gunshot,Firearm,3255,99.6,0.2,0,2,13.3,0.093187661
41,Male,Black,2015,OH,Gunshot,Firearm,0,NA,NA,NA,NA,NA,NA
19,Male,Hispanic/Latino,2015,CA,Gunshot,No,4424,4,9.5,68.2,1,42,0.171334432
26,Male,Black,2015,OK,Gunshot,Knife,3754,33.1,3,52.5,1,37.4,0.12745682
34,Male,White,2015,MS,Gunshot,No,6466,97.3,0.8,0.3,1,16.1,0.096869245
69,Male,White,2015,KY,Struck by vehicle,No,2143,94.2,3.4,1.1,1,45.4,0.205128205
64,Female,Asian/Pacific Islander,2015,NJ,Struck by vehicle,No,3358,44.1,18.9,32.7,3,19.4,0.100585418
35,Male,Asian/Pacific Islander,2015,TX,Gunshot,No,7538,4.6,35.9,35.9,2,28.3,0.104712042
40,Male,Black,2015,NC,Gunshot,No,2929,33.2,62.2,2.8,1,24.6,0.195104392
19,Male,Black,2015,MO,Gunshot,Firearm,1325,0.2,99.8,0,1,37.6,0.507614213
27,Male,Hispanic/Latino,2015,IL,Gunshot,No,2665,86.2,9.8,1,1,31.2,0.203891051
37,Male,Hispanic/Latino,2015,FL,Gunshot,Firearm,2537,16,10.6,72.4,1,30.7,0.153279786
17,Male,White,2015,MI,Gunshot,Knife,1404,69.6,6.6,19.9,1,40,0.260663507
39,Male,Black,2015,FL,Gunshot,Firearm,732,56.7,34.3,7.1,1,54.2,0.305194805
74,Male,Black,2015,NC,Gunshot,Firearm,4049,33.3,43.7,22.3,1,33.7,0.19297235
42,Male,White,2015,UT,Gunshot,Firearm,3745,87.2,0.1,5,2,18.3,0.03653323
47,Male,White,2015,TX,Gunshot,No,4447,42,27.1,29.9,1,34.8,0.097790055
43,Male,White,2015,SC,Gunshot,Knife,8668,85.5,11,0.7,5,4,0.092042385
46,Male,White,2015,CO,Gunshot,No,2892,94.4,0,4.2,4,7.7,0.041666667
44,Male,White,2015,NY,Gunshot,Firearm,4696,96.5,0.7,1.6,4,9.5,0.09765625
31,Male,White,2015,TN,Gunshot,Other,3636,36.5,57.6,0.3,2,15.4,0.139391056
47,Male,White,2015,MO,Gunshot,Firearm,4911,96.8,0.2,0.8,3,16.4,0.065677966
41,Male,Hispanic/Latino,2015,CA,Gunshot,Firearm,3524,73.8,2.5,17.7,5,8.6,0.066012002
43,Male,White,2015,OK,Struck by vehicle,Vehicle,2712,63.2,21.4,4.7,1,21.1,0.119248218
40,Male,NA,2015,OR,Gunshot,Non-lethal firearm,5737,89.6,0,4.1,2,20.2,0.187595323
32,Male,Black,2015,CO,Gunshot,Firearm,6851,62.2,1.6,28.7,3,12.4,0.08035982
31,Male,Black,2015,LA,Gunshot,Vehicle,1862,5.4,93.1,1.3,1,48.4,0.27734375
20,Male,White,2015,WA,Gunshot,Firearm,8196,79.4,0.3,17.1,3,17.4,0.12704918
20,Female,Black,2015,NC,Gunshot,Firearm,2986,8.4,88,5.8,1,68.2,0.422321429
33,Male,White,2015,FL,Gunshot,No,7471,70.9,19.6,7.1,3,14.1,0.108317215
22,Male,Black,2015,LA,Gunshot,Other,678,9.9,68.6,20.6,1,57.1,0.20361991
41,Male,White,2015,NM,Gunshot,No,6941,58.6,0,40.4,2,17.6,0.061612903
41,Male,Black,2015,NJ,Struck by vehicle,No,8810,35.3,19.7,29.2,5,9.3,0.066434996
32,Male,White,2015,NC,Gunshot,Knife,5938,62.5,27.2,8.4,1,17.2,0.089311334
16,Male,White,2015,MD,Gunshot,Firearm,5437,38,53,3.2,2,11.3,0.115929459
29,Male,Black,2015,CA,Gunshot,Knife,4296,72.5,1.2,19.3,3,11.6,0.092623405
42,Male,White,2015,OH,Gunshot,NA,2993,62.8,32.1,1.9,2,13.4,0.063731932
29,Male,Black,2015,FL,Gunshot,NA,8033,14,60,26.6,2,28.1,0.11313083
47,Male,White,2015,CA,Gunshot,Firearm,1354,28.7,17.7,48.7,1,46.2,0.132231405
53,Male,Black,2015,VA,Gunshot,Other,4523,39.3,59.4,0,2,25.7,0.105973025
18,Male,Black,2015,IL,Gunshot,No,1781,1,95,0.7,2,24.9,0.191593353
47,Male,White,2015,KY,Death in custody,Firearm,6740,99.4,0.2,0,1,33.2,0.096566524
34,Male,White,2015,UT,Gunshot,No,4748,83.3,2.2,8.7,4,7.7,0.018841912
36,Male,White,2015,GA,Gunshot,Firearm,6084,56.8,34,4.4,3,8.1,0.140740741
63,Male,White,2015,HI,Struck by vehicle,Firearm,7883,51.1,0.4,6.1,4,7.3,0.110093792
36,Male,White,2015,FL,Gunshot,No,6993,64.1,8.1,24.7,5,7.9,0.063364345
27,Male,Black,2015,SC,Gunshot,Firearm,6384,59.9,34,2,1,24.1,0.151768733
28,Male,Black,2015,FL,Gunshot,Vehicle,4498,56.5,35.1,2.9,2,32.6,0.133175195
33,Male,Black,2015,OH,Gunshot,No,4419,71,21,3.6,1,26,0.145665323
32,Male,Black,2015,SC,Gunshot,No,2875,85.7,9.4,2.7,4,16.6,0.044805195
42,Male,White,2015,PA,Gunshot,Knife,3436,60.3,8.8,25.7,3,11.3,0.072277228
