age,gender,raceethnicity,year,state,cause,armed,pop,share_white,share_black,share_hispanic,nat_bucket,pov,urate
31,Male,White,2015,PA,Gunshot,Firearm,4923,87.3,1.2,9.2,4,13.9,0.030340815
17,Female,Hispanic/Latino,2015,CO,Gunshot,Firearm,4293,38.8,43.2,13.7,3,11.8,0.096314908
28,Female,NA,2015,AZ,Gunshot,Firearm,6202,87.4,0,10.4,2,20.9,0.151329243
24,Male,White,2015,LA,Gunshot,Firearm,4302,50.9,31.2,7.9,1,26.4,0.082046758
71,Male,NA,2015,AR,Gunshot,Firearm,2979,67.9,29.8,1.3,1,32.9,0.137774413
51,Male,Black,2015,TX,Gunshot,No,5506,40.2,12.6,44.2,1,36.1,0.140606992
28,Male,Hispanic/Latino,2015,AZ,Gunshot,Other,4579,30.6,11.5,44.4,2,39.7,0.149219467
53,Male,White,2015,TN,Gunshot,Firearm,3307,97.1,0.5,0.9,5,1.1,0.021902017
54,Male,White,2015,NV,Gunshot,No,3042,90,0,6.7,3,13.6,0.116955446
45,Male,White,2015,MS,Gunshot,Firearm,5683,20.6,74.2,2.2,1,31.4,0.091877986
33,Male,White,2015,FL,NA,Other,3522,90.5,5.1,2.2,3,15.2,0.114509804
48,Male,White,2015,MT,Gunshot,Firearm,3238,75.4,1.6,6.5,2,21.6,0.170554692
34,Male,White,2015,NM,Gunshot,Firearm,3404,63.9,3.7,26.6,3,7.3,0.050728277
23,Male,Hispanic/Latino,2015,KS,Gunshot,Knife,4020,45,34.2,15.7,2,24.1,0.106899903
35,Male,White,2015,CA,Gunshot,Firearm,5651,71.2,0,23.6,2,16,0.119515253
33,Male,Hispanic/Latino,2015,AK,Gunshot,Knife,2619,50.4,11.7,10.2,3,18.4,0.096503497
32,Male,White,2015,AZ,Gunshot,Firearm,2732,59.2,1.4,24.3,5,7.1,0.067204301
52,Male,White,2015,OH,Gunshot,Firearm,5977,89.3,4.9,0.5,4,15.3,0.085316847
30,Male,White,2015,NY,Gunshot,No,6081,1.5,16.6,36.3,1,42,0.086378738
23,Male,White,2015,CA,Gunshot,Firearm,6230,32.9,18.3,39.2,3,15,0.102047449
35,Male,White,2015,AR,Gunshot,Knife,4227,79.9,4.4,10.4,3,22.6,0.07388664
42,Male,Black,2015,TX,Death in custody,No,5947,41.5,9.1,37.7,1,36.4,0.106456044
37,Male,White,2015,FL,Gunshot,No,3660,67.9,30,0.1,2,16,0.129227053
56,Male,Hispanic/Latino,2015,TX,Gunshot,No,4966,24.3,4.9,67.2,1,29.3,0.087265136
36,Male,Hispanic/Latino,2015,CA,Gunshot,Disputed,4759,34.1,24.5,26,3,23.5,0.160147262
27,Male,Hispanic/Latino,2015,CA,Gunshot,Firearm,13987,5.1,2.7,80,3,20.1,0.151374509
30,Male,White,2015,WI,Gunshot,Firearm,4716,76.9,8.5,4,1,13.6,0.08816521
31,Male,White,2015,IL,Gunshot,Firearm,2680,79.9,3.8,10.3,3,11.5,0.095054592
46,Male,White,2015,FL,Gunshot,Firearm,3748,29.6,13.1,56,1,35.2,0.127546072
51,Male,White,2015,OK,Gunshot,Firearm,2808,76.4,1.7,3.5,1,21.5,0.159594096
72,Male,NA,2015,GA,Gunshot,Firearm,7956,14.9,24.9,34.2,4,14.1,0.099892819
28,Male,White,2015,CA,Death in custody,Knife,3859,31.8,9.3,48.6,3,11.8,0.176044568
63,Male,White,2015,AZ,Gunshot,Firearm,6257,63.1,9.4,18.8,3,13,0.05121876
28,Male,White,2015,CA,Gunshot,Firearm,5153,27.6,0.7,26.2,5,6.6,0.120577121
33,Male,Hispanic/Latino,2015,AZ,Gunshot,Knife,5442,52.8,1.8,41.3,3,13.4,0.118041583
24,Male,Hispanic/Latino,2015,TX,Gunshot,Knife,1363,46.9,1,51.7,2,26,0.043478261
27,Male,White,2015,IL,Gunshot,Firearm,4792,82.7,8.9,3.2,1,22.4,0.085856304
24,Male,Native American,2015,AZ,Gunshot,Firearm,5808,4.3,0.3,2.7,1,48.9,0.262736536
28,Male,White,2015,MN,Gunshot,Firearm,4264,37.7,22.7,10.9,3,18.1,0.106712565
28,Male,White,2015,FL,Gunshot,Firearm,26826,79.1,4.6,9.2,5,4.6,0.054535801
17,Male,Black,2015,IL,Gunshot,Firearm,3111,26.6,40.7,26.2,3,19.1,0.273263434
46,Female,White,2015,CA,Gunshot,Vehicle,4082,83.3,1.5,10.9,4,6.6,0.065811966
52,Male,Black,2015,NY,Death in custody,Firearm,3535,45.7,21.4,28.2,4,9.1,0.059414226
39,Male,Black,2015,CO,Gunshot,Vehicle,3219,37.7,17.2,42.1,3,20.3,0.1340882
49,Female,White,2015,AZ,Gunshot,Non-lethal firearm,3803,38.6,9.1,52.8,1,17.6,0.104332953
30,Male,Black,2015,TX,Gunshot,No,5863,61.9,20.5,18.4,4,6,0.039571006
51,Male,White,2015,AZ,Gunshot,No,3817,75.3,3.5,14.3,3,13,0.107897153
16,Male,Black,2015,FL,Gunshot,Firearm,4294,5.2,93.6,0.7,1,36.4,0.232041049
18,Male,White,2015,OK,Gunshot,Non-lethal firearm,3014,68,17.4,6.4,2,33.3,0.105769231
22,Male,Hispanic/Latino,2015,AZ,Gunshot,No,4378,60.2,4,30.3,3,8.5,0.069218871
40,Male,Black,2015,GA,Gunshot,Firearm,8081,67.6,26.3,4.3,2,17,0.136045259
61,Male,White,2015,ME,Gunshot,Knife,3045,97.2,0.3,0.6,2,17.9,0.115207373
52,Male,White,2015,DE,Gunshot,Firearm,13561,64.4,24.6,5.2,4,6.4,0.063839559
51,Male,White,2015,IN,Gunshot,Firearm,6142,61.8,29.3,6,2,15.1,0.125633232
36,Male,Black,2015,NJ,Gunshot,Firearm,4702,75.3,1.1,17.3,4,4.5,0.096800997
36,Male,White,2015,UT,Gunshot,No,7753,79.9,0,10.8,4,12.4,0.03559965
59,Male,White,2015,SC,Gunshot,No,3276,71,17.6,2.7,5,14.5,0.100581395
17,Female,White,2015,TX,Gunshot,Firearm,4045,44.8,34.1,19.7,1,27.4,0.13706706
18,Male,White,2015,MI,Gunshot,No,3088,92.3,1.3,5.7,4,6,0.091408935
41,Male,White,2015,TX,Gunshot,Other,1683,90.5,0.6,7.6,3,10.3,0.075596817
33,Male,Native American,2015,AK,Death in custody,Knife,5733,25.5,11.1,13.6,2,20.2,0.129310345
25,Male,Black,2015,FL,Gunshot,Firearm,4945,5.9,83,9.5,3,8.2,0.116955017
23,Male,Black,2015,MO,Gunshot,No,3641,28.5,59.4,6.1,1,38.7,0.201671309
47,Male,Black,2015,PA,Gunshot,Firearm,4667,34.5,59.4,1.4,1,30.5,0.102179837
58,Male,White,2015,NC,Gunshot,Firearm,5006,91.8,5.1,1.5,2,14.8,0.095274683
47,Male,White,2015,OR,Gunshot,No,4978,69.3,0,19.8,3,8.8,0.135547919
34,Male,Black,2015,MD,Gunshot,Firearm,3715,1.6,92.7,5.1,5,3.5,0.120465116
28,Male,White,2015,MT,Gunshot,Firearm,7864,87.5,0.1,3.3,4,9.5,0.049460432
37,Male,Black,2015,WA,Death in custody,No,4502,75.4,8.6,4.9,1,24.4,0.099949006
87,Male,White,2015,NY,Struck by vehicle,Firearm,3947,91,0.6,0.8,3,6.5,0.133264463
39,Male,Asian/Pacific Islander,2015,CO,Gunshot,Firearm,4630,92.7,0.1,1.6,5,7.7,0.051483733
27,Male,Hispanic/Latino,2015,CA,Gunshot,Knife,4192,44.7,0,41.7,4,14.7,0.164906988
35,Male,Hispanic/Latino,2015,CA,Gunshot,Firearm,4371,2.4,2,72,1,50.6,0.157422081
36,Male,Black,2015,IN,Gunshot,Vehicle,1471,1.4,87.2,4.5,1,38.2,0.224820144
24,Male,Black,2015,MN,Gunshot,Vehicle,2391,18.9,42.3,5.4,1,48.9,0.223255814
26,Male,Black,2015,NE,Gunshot,No,4283,56.4,31.8,4.4,2,18.7,0.095988539
34,Male,Black,2015,VA,Gunshot,Firearm,7340,19.2,75.3,4.8,3,10.8,0.09905795
51,Male,White,2015,MO,Gunshot,Other,2917,69.4,4.4,3.5,1,69.4,0.028318584
49,Male,White,2015,OR,Gunshot,Firearm,4083,62,0.4,31.7,1,33.8,0.238070806
41,Male,White,2015,IL,Gunshot,Firearm,5199,49.7,16.5,26.3,1,39.1,0.19002079
54,Male,White,2015,OK,Gunshot,No,3954,80.7,0.7,1.4,3,8.9,0.098895582
36,Male,Black,2015,TN,Gunshot,Firearm,6876,39.8,7,50.1,1,34.3,0.112596554
26,Male,Black,2015,FL,NA,Firearm,3441,5.8,92.8,2.5,1,51.4,0.294452347
35,Male,Asian/Pacific Islander,2015,CA,Gunshot,Firearm,3140,32.8,7.8,35.5,2,29.1,0.235502122
22,Male,Black,2015,GA,Death in custody,Other,5502,47.5,28.2,22.6,1,30.1,0.119607843
27,Male,White,2015,TN,Gunshot,Other,4517,88.5,9.9,0.7,1,18.1,0.140121439
42,Male,White,2015,CA,Gunshot,Firearm,5372,62.1,7.1,15.5,3,31.1,0.107025846
32,Male,White,2015,CA,Gunshot,Other,5731,73.5,0.9,11.8,5,8.6,0.050441655
32,Male,White,2015,MI,Gunshot,Other,3021,94.7,0.9,3.4,4,3.3,0.069385271
25,Male,White,2015,AZ,Gunshot,Firearm,2485,71.7,2.3,9.8,2,20.5,0.059773829
26,Female,Black,2015,CA,Gunshot,No,3172,16.1,2.6,70.9,4,8.9,0.086549063
53,Male,White,2015,KY,Gunshot,No,2911,97.2,1.3,0,2,18.7,0.088392857
26,Male,White,2015,ID,Gunshot,Knife,5726,74.9,2.3,12,1,29.6,0.117797332
40,Male,White,2015,KY,Gunshot,Non-lethal firearm,8064,90,1.8,2.3,3,15.4,0.053853296
55,Male,White,2015,NC,Taser,Firearm,5329,9.7,89.1,0,1,31.5,0.251207729
29,Male,White,2015,MO,Gunshot,No,7585,97.1,1.1,0.3,3,12,0.138111888
31,Male,White,2015,MO,Gunshot,No,2816,93.4,2,1.3,1,26.5,0.166007905
19,Male,White,2015,HI,Struck by vehicle,Knife,4189,15,0.4,11.1,4,5.4,0.045591398
57,Male,NA,2015,CA,Taser,Firearm,4466,87.2,0.2,3.6,1,28.2,0.108664773
40,Male,White,2015,PA,Gunshot,Knife,6530,77.2,17.8,3.7,2,11.2,0.110402355
35,Male,White,2015,DE,Gunshot,Firearm,4480,40.1,45.6,3.1,2,15.5,0.137201979
35,Male,White,2015,NY,Gunshot,Firearm,4865,65.6,11.1,19.8,3,12.6,0.151676206
39,Male,Hispanic/Latino,2015,CO,Gunshot,Firearm,4129,33.3,0.7,61.8,1,42.7,0.121156494
37,Male,White,2015,GA,Gunshot,No,5456,78,15.7,2.6,5,3,0.050305914
36,Male,Hispanic/Latino,2015,TX,Gunshot,Firearm,2377,3.2,0,96.8,1,33.1,0.063807531
62,Male,White,2015,WA,Gunshot,Knife,5169,58.2,9.8,24.8,2,19.1,0.11381323
43,Female,Black,2015,CA,Gunshot,Firearm,5062,23.3,0.9,68,3,11.2,0.119982921
32,Male,White,2015,WA,Death in custody,Knife,2150,79,4.1,9.4,1,27.4,0.133171913
34,Male,Asian/Pacific Islander,2015,TX,Gunshot,Vehicle,4775,34.7,16.3,14.6,3,9.2,0.092148913
37,Male,Black,2015,CO,Gunshot,No,6415,26.2,24,41,2,23.9,0.172646427
37,Female,Black,2015,VA,Taser,No,7408,58.6,17.8,7.9,5,5.6,0.016203704
33,Male,White,2015,LA,Gunshot,Knife,1977,95.9,2,0,2,18.5,0.02987013
35,Male,White,2015,OK,Gunshot,No,6888,73.5,5.6,4.5,2,14.1,0.08040201
40,Male,White,2015,MA,Gunshot,No,3776,83.3,2.2,6.6,2,16.7,0.134320175
21,Male,Black,2015,CA,Gunshot,Firearm,5931,14.5,4.5,7.9,5,1.5,0.056978002
30,Male,White,2015,IA,Gunshot,Firearm,3687,49.7,13.6,32.2,1,31.3,0.127948113
23,Male,Black,2015,GA,Gunshot,Knife,3574,37,45.7,10.6,3,6.9,0.033260234
26,Male,Native American,2015,AZ,Gunshot,No,4829,16.3,12,55.4,1,57.1,0.206933333
39,Female,White,2015,WY,Gunshot,Firearm,8988,94.4,0.9,3.1,5,8.7,0.04654387
33,Male,Black,2015,TX,Taser,Vehicle,4542,46.4,5.3,43.2,4,5.2,0.047184774
34,Female,Black,2015,NJ,Struck by vehicle,Firearm,8810,35.3,19.7,29.2,5,9.3,0.066434996
37,Male,Black,2015,LA,Gunshot,Firearm,1345,2.1,84.2,5.4,1,54.6,0.324444444
26,Male,Hispanic/Latino,2015,CO,Gunshot,Firearm,5747,42.6,3.2,52.9,2,22.1,0.171932403
24,Male,Hispanic/Latino,2015,CA,Gunshot,No,3040,41.8,8.7,8.8,4,25.5,0.103303862
25,Male,White,2015,CA,Gunshot,Other,7323,5.9,14.5,62.7,2,29.4,0.265224111
31,Male,Black,2015,CA,Gunshot,Knife,9738,15.7,1.6,69.1,3,22.4,0.123324397
49,Male,White,2015,MA,Gunshot,Firearm,3902,94.5,0.2,0.2,4,4.7,0.093385214
59,Male,White,2015,CA,Gunshot,No,8960,28.1,7.1,32.9,5,6,0.138940153
50,Male,Hispanic/Latino,2015,TX,Gunshot,No,7556,23.5,1.3,72.3,2,24.5,0.053399923
37,Male,White,2015,CA,Gunshot,Firearm,7099,10.6,23,7.8,5,5.6,0.108266073
28,Male,White,2015,SC,Gunshot,Other,6309,69.7,16.6,3.3,3,9.7,0.077569308
26,Male,Hispanic/Latino,2015,TX,Gunshot,Firearm,2802,29.8,25.3,34.5,3,6.3,0.094994312
23,Male,Black,2015,CA,Gunshot,Firearm,4866,7.2,1.9,83.4,2,32.2,0.083946344
32,Male,Black,2015,NJ,Death in custody,Firearm,7621,5.1,21.3,77.8,2,34.3,0.11842919
24,Male,White,2015,MN,Gunshot,Knife,6185,86.7,3.3,3.1,5,6.9,0.049067982
42,Male,White,2015,OK,Gunshot,Firearm,4908,76.8,8.5,7.3,1,34,0.066425993
34,Male,White,2015,KS,Taser,Firearm,1990,1.1,60.3,37.2,1,45.3,0.258571429
68,Male,White,2015,MN,Gunshot,Other,4836,61.7,9.8,16.3,3,8.7,0.112132353
31,Male,Black,2015,TX,Gunshot,Firearm,4321,19.6,3.5,74.1,1,26.7,0.08373079
83,Male,White,2015,OK,Gunshot,No,5410,82.8,1,5.2,4,8,0.066806576
35,Male,White,2015,PA,Gunshot,Firearm,4017,37.4,10.7,47.7,1,36.6,0.139742873
29,Male,Hispanic/Latino,2015,TX,Gunshot,Firearm,3679,24.2,5.6,70.2,3,21.7,0.074115665
50,Male,Black,2015,NY,Taser,Firearm,1271,0.6,95.6,3.9,1,49.9,0.259259259
56,Male,NA,2015,CA,Gunshot,Firearm,6657,72.8,0.3,26.3,4,11.5,0.113105925
43,Male,White,2015,TX,Gunshot,Firearm,6033,47.6,0.3,50.6,3,10,0.064629434
38,Male,White,2015,KS,Gunshot,Firearm,5378,89.6,3.4,4.5,2,10.4,0.045649073
63,Male,Black,2015,LA,Gunshot,Disputed,0,NA,NA,NA,NA,NA,NA
27,Male,Black,2015,MD,Gunshot,Firearm,1610,58.6,25.5,10,5,3.2,0.095238095
36,Male,White,2015,WA,Gunshot,Firearm,4284,73.6,0,24.2,2,20.5,0.0830373
55,Male,White,2015,OR,Gunshot,Knife,2186,85.8,0.5,6,3,16,0.138248848
36,Male,White,2015,CA,Gunshot,Firearm,3921,36.3,2.3,59.8,3,23.1,0.117837838
68,Male,White,2015,TX,Gunshot,No,6016,62.3,6.1,30,3,8.6,0.051835853
61,Male,White,2015,TX,Gunshot,No,7456,53.3,6.4,34.6,4,11.5,0.081466763
46,Male,White,2015,VA,Gunshot,No,3721,82.5,10.5,0.4,1,21.8,0.083866837
47,Male,White,2015,LA,Gunshot,Firearm,5375,86.8,1.5,10.6,4,10.8,0.065487392
26,Male,White,2015,OH,Gunshot,Vehicle,4430,95.5,0,0,3,18.2,0.177073171
37,Male,Black,2015,CA,Gunshot,No,2666,27.6,5.5,46.4,5,7.4,0.081118881
22,Male,Hispanic/Latino,2015,CA,Gunshot,Knife,4315,49,2.5,22.5,4,11.2,0.11952862
18,Male,Hispanic/Latino,2015,FL,NA,Knife,2355,75.2,1.5,21.7,3,16.4,0.081262592
39,Male,Hispanic/Latino,2015,CA,Gunshot,No,5158,1.7,0,94.3,1,38.5,0.218400688
49,Male,White,2015,MS,Gunshot,Other,2923,9.9,85.3,4.8,1,47.1,0.127254509
23,Male,Black,2015,OK,Gunshot,Firearm,3300,52.2,23.8,10.1,2,26.7,0.080686695
47,Male,Hispanic/Latino,2015,CA,Gunshot,Firearm,4932,30.1,1.4,66.5,3,18.8,0.078510317
32,Male,Black,2015,TX,Gunshot,Knife,6118,47.3,8.8,43.7,3,18.4,0.12814412
45,Male,Black,2015,IL,Gunshot,No,4279,9.5,67,21.7,1,30.2,0.212271153
51,Male,White,2015,TX,Gunshot,Knife,3999,2.3,0.8,97.1,2,17.4,0.057938719
31,Male,Hispanic/Latino,2015,TX,Gunshot,Vehicle,5917,68.9,10.7,10.7,5,2.9,0.06846473
54,Male,White,2015,WA,Death in custody,Firearm,6747,16.5,0.9,78.7,1,35.9,0.131743119
31,Male,White,2015,AZ,Gunshot,Firearm,6001,80.9,0.2,11.9,2,16.2,0.149595213
23,Male,Hispanic/Latino,2015,CA,Gunshot,Knife,3755,13,10.4,61.1,1,39.3,0.122121424
29,Male,Hispanic/Latino,2015,NV,Gunshot,No,4993,8.5,6.3,84.5,2,22.9,0.140275387
28,Male,Hispanic/Latino,2015,AZ,Gunshot,Firearm,4579,30.6,11.5,44.4,2,39.7,0.149219467
31,Male,Black,2015,MN,Gunshot,No,2459,57.8,15.5,2.2,3,10.6,0.108108108
24,Male,Hispanic/Latino,2015,TX,Gunshot,Firearm,5449,4.8,0.4,94.8,1,30.2,0.118733509
27,Male,White,2015,TX,Gunshot,No,8776,67,1.5,19.7,5,7.3,0.069404151
57,Male,White,2015,CA,Gunshot,Firearm,4026,8.5,0,27.3,2,17.1,0.115249119
39,Male,NA,2015,NJ,Gunshot,Non-lethal firearm,5447,86.7,0.8,9.2,5,5.3,0.097529259
38,Male,White,2015,MI,Gunshot,Firearm,5543,81.1,8.6,2.7,4,7.1,0.071646341
34,Male,Hispanic/Latino,2015,CA,Gunshot,Firearm,7914,58.6,2.8,19.2,5,6.8,0.085368162
39,Male,White,2015,AL,Gunshot,Other,5791,86.3,2.1,0,2,17,0.168279344
20,Male,Black,2015,IL,Gunshot,Firearm,3362,14.3,38.8,44.9,1,37.5,0.152272727
35,Male,White,2015,AZ,Gunshot,No,2747,54.5,0,42.3,3,19.5,0.078651685
36,Male,White,2015,NJ,Gunshot,Firearm,7010,65.8,11.3,21.1,3,15.2,0.135890272
38,Male,Asian/Pacific Islander,2015,HI,Taser,No,403,26.1,13.4,2,1,20.1,0.231788079
33,Male,White,2015,CA,Gunshot,Firearm,7371,49.5,10.9,36.1,4,19.2,0.090909091
57,Male,Asian/Pacific Islander,2015,MN,Taser,Firearm,3081,37.8,28.2,8.9,2,23,0.101226994
38,Male,Black,2015,AL,Gunshot,Firearm,3681,44.4,22.4,28.9,2,23.2,0.052918942
72,Male,White,2015,CO,Gunshot,Firearm,2868,66.6,8,21,2,16.8,0.109414758
37,Female,White,2015,AZ,Gunshot,No,1548,45.5,3.1,40.8,1,31.2,0.138238573
47,Male,White,2015,WA,Gunshot,Knife,2758,58,11.3,15.6,2,24.5,0.12909699
43,Male,White,2015,MS,Taser,No,7590,77.3,16.9,2.9,2,11,0.098382749
37,Male,White,2015,WI,Gunshot,Firearm,6145,71.5,2.6,18.7,1,26.6,0.109457093
75,Male,White,2015,NJ,Gunshot,Knife,1753,42.2,20.6,24.9,5,14.3,0.075431034
21,Male,Black,2015,OK,Gunshot,Firearm,1925,36.9,43.4,1.5,1,51.8,0.094752187
20,Male,Black,2015,MI,Gunshot,Firearm,3501,5.7,92.4,1.3,1,53.8,0.181212525
29,Male,Black,2015,OH,Taser,Firearm,2326,49.4,40,4.7,1,40.3,0.177252585
37,Male,Black,2015,MD,Gunshot,Knife,3737,77.4,14.6,7.6,3,4.5,0.134502924
41,Male,Black,2015,OK,Taser,Firearm,3630,68.7,5.5,5.6,3,7.5,0.068774265
22,Male,Black,2015,FL,Gunshot,Knife,5246,1.8,79.2,20.8,1,42.5,0.289340102
23,Male,Black,2015,MO,Gunshot,Knife,7671,7.5,92.5,0,1,25.1,0.268621236
64,Male,Black,2015,OH,Gunshot,No,1548,49.8,43.7,3.5,1,39.8,0.448074679
34,Male,Black,2015,MO,Gunshot,Firearm,2150,1,98.6,0.2,1,50.8,0.299757282
49,Male,White,2015,UT,Gunshot,Firearm,11719,89.4,2.2,7.5,5,4.4,0.046353872
32,Male,Asian/Pacific Islander,2015,CA,Gunshot,Knife,3416,5.7,0,80.8,4,13.8,0.015197568
25,Male,Black,2015,TX,Gunshot,Other,3394,19.9,0.6,79,1,44.1,0.081601232
39,Female,White,2015,NE,Gunshot,Firearm,2646,88,2.6,4,4,5.5,0.028415961
53,Male,NA,2015,WA,Gunshot,Non-lethal firearm,4347,68.7,5.3,18.1,2,18.4,0.064193168
27,Male,White,2015,NM,Gunshot,Firearm,6462,72.1,0.9,19.5,3,8.4,0.066055046
36,Male,White,2015,CA,Gunshot,Firearm,2886,48.3,8.1,38.4,1,32,0.216848674
20,Male,Black,2015,CO,Gunshot,Firearm,2024,41.3,0.6,55.3,1,26.6,0.12590799
39,Male,White,2015,IL,Gunshot,Firearm,3565,78.5,0.4,20.9,3,14,0.053739612
19,Male,Black,2015,WI,Gunshot,Firearm,6145,90.7,1.3,5.5,3,13.3,0.055254849
34,Male,White,2015,TX,Taser,Knife,4177,56.9,28.6,8.5,2,24.3,0.197698745
36,Male,White,2015,MS,Gunshot,Firearm,4980,72.2,25.9,0.3,3,15.5,0.055140187
34,Male,White,2015,OK,Gunshot,Firearm,2032,72.5,0,1.1,2,20.7,0.05624297
31,Male,White,2015,ID,Gunshot,No,10818,89.5,0,8.4,4,9.6,0.06899401
45,Male,Black,2015,WI,Gunshot,Non-lethal firearm,2657,77.5,3.1,15,4,11,0.065342729
34,Male,White,2015,NE,Gunshot,NA,5459,74.8,8.8,4.2,2,19.9,0.055735771
NA,Male,NA,2015,TX,Gunshot,Other,6852,87.2,1.8,10.4,3,17.9,0.058573298
NA,Female,NA,2015,TX,Gunshot,Knife,6852,87.2,1.8,10.4,3,17.9,0.058573298
NA,Male,White,2015,NY,Gunshot,Firearm,6852,87.2,1.8,10.4,3,17.9,0.058573298
31,Male,Hispanic/Latino,2015,TX,Gunshot,No,5065,25,31.9,40.1,2,12.5,0.023561091
28,Male,Hispanic/Latino,2015,CA,Gunshot,Firearm,3862,0.3,37,60.3,1,33.7,0.066431095
57,Male,White,2015,NY,Gunshot,Firearm,4164,78.5,6.5,4.8,5,1.9,0.045
29,Male,Black,2015,VA,Gunshot,Other,4996,87.4,10,0,3,6.6,0.028934368
50,Male,Black,2015,SC,Gunshot,Knife,4110,15.8,65.2,18.6,1,44.1,0.215909091
40,Male,White,2015,TX,Gunshot,NA,4074,89.2,0.9,6,5,11.2,0.027574564
35,Male,Hispanic/Latino,2015,TX,Taser,NA,3507,94.8,0,2.5,4,4,0.034519957
53,Male,White,2015,AL,Gunshot,No,4547,84.7,1.4,7.7,5,3,0.035916061
59,Male,NA,2015,NJ,Gunshot,Non-lethal firearm,5065,64.3,16.9,4.9,4,7.3,0.14086629
18,Male,Black,2015,VA,Gunshot,No,1640,40.9,53.8,0,1,35.2,0.152046784
28,Male,Native American,2015,WA,Taser,Firearm,4154,74.5,0.4,20.2,2,27.3,0.133650291
52,Male,White,2015,NC,Gunshot,Firearm,3850,83.2,10.1,0.3,2,28.5,0.256149733
38,Female,Black,2015,CA,Gunshot,Firearm,2544,21.7,24.9,37.1,4,23.9,0.069601428
48,Male,NA,2015,CA,Gunshot,Firearm,5177,23.1,4,12.3,5,6.1,0.0809121