Sex,Lake,Head_length,Standard_length
1,1,76,342
1,1,44,194
1,1,51,240
1,1,50,240
1,1,123,502
1,1,136,569
1,1,82,362
1,1,80,348
1,1,64,300
1,1,166,616
1,1,160,667
1,1,87,367
1,1,136,559
1,1,72,335
1,1,72,304
1,1,62,286
1,1,59,281
1,1,51,249
1,1,43,192
1,1,42,186
1,1,130,526
1,1,150,610
1,1,174,660
1,1,105,438
1,1,130,534
1,1,169,675
1,1,46,200
1,1,151,609
1,1,42,183
1,1,40,169
1,1,38,162
1,1,33,137
1,1,82,364
1,1,54,264
1,1,61,256
1,1,75,344
1,1,58,260
1,1,42,203
1,1,61,282
1,1,68,312
1,1,42,176
1,1,44,184
1,1,43,183
1,1,45,198
1,1,43,183
1,1,42,185
1,1,39,169
1,1,36,154
1,1,38,165
1,1,35,155
1,2,121,459
1,2,103,412
1,2,95,368
1,2,76,298
1,2,72,299
1,2,61,243
1,2,70,277
1,2,52,215
1,2,51,217
1,2,49,208
2,1,114,473
2,1,128,544
2,1,70,323
2,1,55,262
2,1,70,328
2,1,62,297
2,1,66,311
2,1,74,363
2,1,51,249
2,1,62,289
2,1,123,534
2,1,165,655
2,1,144,607
2,1,47,248
2,1,46,198
2,1,68,312
2,1,50,232
2,1,44,190
2,1,129,582
2,1,156,632
2,1,64,293
2,1,66,302
2,1,54,254
2,1,57,253
2,1,43,186
2,1,41,180
2,1,65,297
2,1,61,296
2,1,64,300
2,1,52,256
2,1,45,189
2,1,134,602
2,1,72,322
2,1,50,220
2,1,68,306
2,1,72,348
2,1,75,354
2,1,56,270
2,1,52,256
2,1,48,218
2,1,73,343
2,1,52,226
2,1,44,189
2,1,42,178
2,1,40,193
2,1,41,175
2,1,40,162
2,1,42,184
2,1,32,148
2,1,33,133
2,2,70,312
2,2,64,292
2,2,70,297
2,2,55,242
2,2,58,248
2,2,57,254
2,2,52,225
2,2,45,198
2,2,44,196
2,2,46,184