Car,mpg,displacement,weight,transmission_type
name and type,miles/gallon,cubic in,lbs,"A=automatic, M=manual"
Apollo,18.9,350,3910,A
Omega,17,350,2860,A
Nova,20,250,3510,A
Monarch,18.25,351,3890,A
Duster,20.07,225,3365,M
JensonConv,11.2,440,4215,A
Skyhawk,22.12,231,3020,A
Monza,21.47,262,3180,A
Scirocco,34.7,89.7,1905,M
CorollaSR5,30.4,96.9,2320,M
Camaro,16.5,350,3885,A
DatsunB210,36.5,85.3,2009,M
CapriII,21.5,171,2655,M
Pacer,19.7,258,3375,A
Babcat,20.3,140,2700,M
Granada,17.8,302,3890,A
Eldorado,14.39,500,5290,A
Imperial,14.89,440,5185,A
NovaLN,17.8,350,3910,A
Valiant,16.41,318,3660,A
Starfire,23.54,231,3050,A
Cordoba,21.47,360,4250,A
TransAM,16.59,400,3850,A
CorollaE5,31.9,96.9,2275,M
Astre,29.4,140,2150,M
MarkIV,13.27,460,5430,A
CelicaGT,23.9,133.6,2535,M
ChargerSE,19.73,318,4370,A
Cougar,13.9,351,4540,A
Elite,13.27,351,4715,A
Matador,13.77,360,4215,A
Corvette,16.5,350,3660,A